Frame 1: X=482, Y=487, Radius=233
Frame 1: X=869, Y=246, Radius=21
Frame 1: X=1149, Y=247, Radius=31
Frame 1: X=1198, Y=229, Radius=23
Frame 1: X=1032, Y=229, Radius=13
Frame 1: X=1085, Y=230, Radius=28
Frame 1: X=1768, Y=365, Radius=143
Frame 1: X=1585, Y=223, Radius=36
Frame 1: X=1135, Y=222, Radius=18
Frame 1: X=1193, Y=499, Radius=634
Frame 1: X=1189, Y=223, Radius=25
Frame 1: X=1331, Y=218, Radius=17
Frame 1: X=1297, Y=217, Radius=13
Frame 1: X=1409, Y=214, Radius=20
Frame 1: X=539, Y=264, Radius=63
Frame 1: X=962, Y=220, Radius=26
Frame 1: X=916, Y=180, Radius=13
Frame 1: X=1030, Y=161, Radius=13
Frame 1: X=1256, Y=157, Radius=90
Frame 1: X=1382, Y=149, Radius=34
Frame 1: X=1705, Y=146, Radius=18
Frame 1: X=1015, Y=149, Radius=74
Frame 1: X=810, Y=149, Radius=43
Frame 1: X=1466, Y=144, Radius=17
Frame 1: X=1672, Y=126, Radius=64
Frame 1: X=1327, Y=140, Radius=281
Frame 1: X=972, Y=121, Radius=6
Frame 1: X=1237, Y=109, Radius=7
Frame 1: X=1642, Y=115, Radius=102
Frame 1: X=1120, Y=109, Radius=6
Frame 1: X=1013, Y=110, Radius=16
Frame 1: X=1158, Y=106, Radius=14
Frame 1: X=1076, Y=102, Radius=16
Frame 1: X=1327, Y=93, Radius=10
Frame 1: X=956, Y=88, Radius=14
Frame 1: X=1240, Y=86, Radius=12
Frame 1: X=1207, Y=87, Radius=20
Frame 1: X=1369, Y=82, Radius=24
Frame 1: X=1255, Y=65, Radius=11
Frame 1: X=717, Y=110, Radius=69
Frame 1: X=916, Y=55, Radius=5
Frame 1: X=997, Y=50, Radius=7
Frame 1: X=684, Y=152, Radius=216
Frame 1: X=1686, Y=62, Radius=19
Frame 1: X=1216, Y=56, Radius=12
Frame 1: X=1713, Y=55, Radius=13
Frame 1: X=1221, Y=90, Radius=78
Frame 1: X=1255, Y=50, Radius=9
Frame 1: X=1162, Y=70, Radius=30
Frame 1: X=1204, Y=55, Radius=19
Frame 1: X=1354, Y=46, Radius=15
Frame 1: X=1291, Y=37, Radius=16
Frame 1: X=1240, Y=30, Radius=11
Frame 1: X=1196, Y=37, Radius=14
Frame 1: X=1165, Y=25, Radius=9
Frame 1: X=1003, Y=20, Radius=9
Frame 1: X=1260, Y=25, Radius=16
Frame 1: X=1098, Y=72, Radius=79
Frame 1: X=1172, Y=14, Radius=20
Frame 1: X=1590, Y=35, Radius=30
Frame 1: X=1208, Y=16, Radius=19
Frame 1: X=1747, Y=45, Radius=45
Frame 1: X=1655, Y=52, Radius=97
Frame 1: X=1426, Y=92, Radius=143
Frame 1: X=1470, Y=31, Radius=32
Frame 1: X=1382, Y=13, Radius=15
Frame 1: X=1384, Y=31, Radius=53
Frame 1: X=1336, Y=16, Radius=19
Frame 1: X=1328, Y=25, Radius=28
Frame 1: X=1132, Y=3, Radius=18
Frame 1: X=1085, Y=22, Radius=22
Frame 1: X=1047, Y=41, Radius=41
Frame 1: X=983, Y=24, Radius=24
Frame 1: X=959, Y=8, Radius=10
Frame 1: X=993, Y=69, Radius=85
Frame 1: X=1349, Y=107, Radius=430
Frame 1: X=897, Y=13, Radius=13
Frame 1: X=903, Y=24, Radius=29
Frame 1: X=860, Y=23, Radius=23
Frame 1: X=496, Y=22, Radius=22
Frame 2: X=1680, Y=1064, Radius=64
Frame 2: X=1338, Y=1065, Radius=13
Frame 2: X=286, Y=1059, Radius=19
Frame 2: X=1109, Y=1054, Radius=24
Frame 2: X=1565, Y=1031, Radius=21
Frame 2: X=1477, Y=1051, Radius=123
Frame 2: X=110, Y=1050, Radius=28
Frame 2: X=1484, Y=1024, Radius=29
Frame 2: X=1387, Y=1012, Radius=27
Frame 2: X=1407, Y=1007, Radius=23
Frame 2: X=1671, Y=990, Radius=19
Frame 2: X=1697, Y=986, Radius=30
Frame 2: X=1598, Y=1006, Radius=28
Frame 2: X=1638, Y=980, Radius=27
Frame 2: X=1365, Y=991, Radius=14
Frame 2: X=662, Y=1027, Radius=52
Frame 2: X=1002, Y=971, Radius=21
Frame 2: X=967, Y=975, Radius=56
Frame 2: X=772, Y=1025, Radius=110
Frame 2: X=949, Y=966, Radius=29
Frame 2: X=467, Y=1018, Radius=60
Frame 2: X=288, Y=989, Radius=48
Frame 2: X=680, Y=942, Radius=21
Frame 2: X=630, Y=944, Radius=61
Frame 2: X=1586, Y=1001, Radius=69
Frame 2: X=1536, Y=936, Radius=18
Frame 2: X=627, Y=937, Radius=23
Frame 2: X=1447, Y=929, Radius=11
Frame 2: X=114, Y=970, Radius=44
Frame 2: X=1420, Y=926, Radius=12
Frame 2: X=1345, Y=990, Radius=72
Frame 2: X=339, Y=922, Radius=15
Frame 2: X=1367, Y=933, Radius=16
Frame 2: X=303, Y=916, Radius=30
Frame 2: X=874, Y=918, Radius=73
Frame 2: X=315, Y=910, Radius=36
Frame 2: X=887, Y=912, Radius=66
Frame 2: X=1153, Y=907, Radius=15
Frame 2: X=1106, Y=1010, Radius=223
Frame 2: X=1261, Y=927, Radius=93
Frame 2: X=1113, Y=903, Radius=22
Frame 2: X=565, Y=897, Radius=34
Frame 2: X=210, Y=899, Radius=22
Frame 2: X=1048, Y=900, Radius=42
Frame 2: X=939, Y=939, Radius=83
Frame 2: X=501, Y=892, Radius=26
Frame 2: X=571, Y=891, Radius=42
Frame 2: X=503, Y=886, Radius=24
Frame 2: X=918, Y=890, Radius=78
Frame 2: X=281, Y=882, Radius=25
Frame 2: X=764, Y=875, Radius=67
Frame 2: X=421, Y=894, Radius=421
Frame 2: X=496, Y=874, Radius=52
Frame 2: X=471, Y=855, Radius=62
Frame 2: X=380, Y=855, Radius=26
Frame 2: X=1724, Y=839, Radius=12
Frame 2: X=993, Y=954, Radius=773
Frame 2: X=1461, Y=805, Radius=24
Frame 2: X=1660, Y=807, Radius=23
Frame 2: X=618, Y=804, Radius=37
Frame 2: X=88, Y=811, Radius=46
Frame 2: X=1187, Y=789, Radius=32
Frame 2: X=535, Y=809, Radius=27
Frame 2: X=1105, Y=785, Radius=35
Frame 2: X=1204, Y=781, Radius=46
Frame 2: X=255, Y=782, Radius=21
Frame 2: X=970, Y=778, Radius=79
Frame 2: X=1625, Y=780, Radius=33
Frame 2: X=1709, Y=790, Radius=49
Frame 2: X=1020, Y=835, Radius=710
Frame 2: X=1497, Y=771, Radius=31
Frame 2: X=956, Y=740, Radius=18
Frame 2: X=1259, Y=745, Radius=16
Frame 2: X=1148, Y=753, Radius=29
Frame 2: X=957, Y=741, Radius=34
Frame 2: X=1180, Y=657, Radius=89
Frame 2: X=626, Y=627, Radius=75
Frame 2: X=866, Y=524, Radius=9
Frame 2: X=894, Y=508, Radius=12
Frame 2: X=876, Y=494, Radius=5
Frame 2: X=828, Y=509, Radius=26
Frame 2: X=882, Y=512, Radius=31
Frame 2: X=817, Y=510, Radius=30
Frame 2: X=844, Y=511, Radius=33
Frame 2: X=807, Y=510, Radius=32
Frame 2: X=895, Y=472, Radius=11
Frame 2: X=860, Y=465, Radius=15
Frame 2: X=896, Y=451, Radius=7
Frame 2: X=563, Y=473, Radius=33
Frame 2: X=555, Y=473, Radius=33
Frame 2: X=533, Y=473, Radius=33
Frame 2: X=569, Y=472, Radius=33
Frame 2: X=547, Y=472, Radius=33
Frame 2: X=540, Y=472, Radius=33
Frame 2: X=862, Y=442, Radius=10
Frame 2: X=552, Y=473, Radius=60
Frame 2: X=626, Y=482, Radius=61
Frame 2: X=560, Y=423, Radius=20
Frame 2: X=862, Y=423, Radius=11
Frame 2: X=826, Y=438, Radius=26
Frame 2: X=874, Y=443, Radius=33
Frame 2: X=834, Y=443, Radius=33
Frame 2: X=810, Y=442, Radius=32
Frame 2: X=850, Y=477, Radius=90
Frame 2: X=1739, Y=391, Radius=17
Frame 2: X=881, Y=346, Radius=27
Frame 2: X=632, Y=302, Radius=44
Frame 2: X=482, Y=495, Radius=239
Frame 2: X=867, Y=246, Radius=16
Frame 2: X=1149, Y=248, Radius=31
Frame 2: X=1768, Y=370, Radius=141
Frame 2: X=1031, Y=229, Radius=13
Frame 2: X=1205, Y=229, Radius=30
